r.rows,r.vals
1,0.00007
2,0.0006
3,0.0743
4,0.0523
5,0.1296
6,0.1927
7,0.0058
8,0.0203
9,0.0028
10,0.124
11,0.0157
12,1.12
13,0.4
14,0.423
15,0.549
16,0.389
17,1.25
18,0.0569
19,5.86
20,6.97
21,6.46
22,2.51
23,2.53
24,0.793
25,2.77
26,6.7
27,17.6
28,10.521
29,14.729
