r.rows,r.vals
1,0.00035
2,0.003
3,0.3715
4,0.2615
5,0.648
6,0.9635
7,0.029
8,0.1015
9,0.014
10,0.62
11,0.0785
12,5.6
13,2
14,2.115
15,2.745
16,1.945
17,6.25
18,0.2845
19,29.3
20,34.85
21,32.3
22,12.55
23,12.65
24,3.965
25,13.85
26,33.5
27,88
28,52.605
29,73.645
